NSC	CAS	Generic Name	Preffered Name	Projects	Primary Target
768068	934660-93-2	cobimetinib	XL-518	Approved 	MEK
768069	934660-93-2	cobimetinib enantiomer	XL-518 enantiomer	Investigational 	MEK
772563	869357-68-6		AZD-8330	Investigational 	MEK
778590	1168091-68-6		GDC-0623	Investigational 	MEK
783272	1610586-62-3		JNJ-47117096	Investigational 	MELK
787251	192441-08-0	lomeguatrib	AZD-5896	Investigational 	MGMT
793148	no cas		RX-5902	Investigational 	microtubule
702294	52205-73-9	estramustine	Ro-21-8837	Approved 	Microtubule depolymerase
787039	1857417-13-0		MI-503	Investigational 	MLL
791783	1849590-02-8		eFT-508	Investigational 	MNK
787025	1443763-60-7		BAY-1161909	Investigational 	MPS1
787026	1554458-53-5		BAY-1217389	Investigational 	MPS1
789044	1578244-34-4		CCT-271850	Investigational 	MPS1
794589	1817791-73-3		NTRC-0066-0	Investigational	MPS1
789042	916151-99-0		APTO-253	Investigational 	MTF-1
226080	53123-88-9	rapamycin		Approved 	mTor
683864	162635-04-3	temsirolimus	CCI-779	Approved 	mTor
733504	159351-69-6	everolimus	RAD-101	Approved 	mTor
751249	915019-65-7	dactolisib	BEZ-235	Investigational 	mTor
755771	162520-00-5	salirasib	KD-032	Investigational 	mTor
757440	572924-54-0	deforolimus	MK-8669	Investigational 	mTor
